qid,n_statements,n_sitelinks
Q11605569,3,3
Q1160666,3,1
Q11610843,14,3
Q11610845,14,2
Q11611786,7,2
Q11612445,12,4
Q11614362,4,2
Q116153805,2,2
Q11616117,6,2
Q11616186,5,3
Q116169546,2,1
Q116169590,3,2
Q1161736,4,7
Q116175909,11,0
Q116186016,7,0
Q116188714,5,1
Q11618913,6,3
Q11621104,7,2
Q11621105,9,3
Q116214135,2,1
Q11621831,8,2
Q1162217,24,23
Q116234052,4,0
Q116244739,2,1
Q11625226,7,3
Q116257276,3,1
Q116257294,1,2
Q116274833,6,1
Q116274942,4,1
Q116275202,4,1
Q116275284,2,1
Q116290500,12,0
Q1162997,5,6
Q11631198,9,2
Q11632244,9,2
Q11633725,3,2
Q1163391,8,7
Q11634655,10,3
Q11635034,14,5
Q1163534,9,7
Q11635919,8,2
Q11636659,6,2
Q116371050,5,1
Q116371054,8,1
Q116371070,7,1
Q116372417,16,0
Q11637826,15,4
Q11639181,9,2
Q116412965,2,1
Q11642805,8,4
Q11643286,11,2
Q11643304,11,2
Q116435,6,3
Q116437,34,31
Q116442885,7,2
Q116457110,2,1
Q116457121,2,1
Q11646927,4,2
Q1164796,14,23
Q116482987,5,1
Q1164941,16,1
Q1164993,37,5
Q116507249,2,1
Q11653519,4,2
Q1165581,8,8
Q11658250,15,2
Q11658308,16,4
Q11658381,7,2
Q11658399,7,2
Q11658958,10,6
Q11658959,8,3
Q1166183,36,22
Q1166189,10,21
Q11663961,10,3
Q116642,12,8
Q116673931,3,0
Q116687065,4,1
Q116687073,4,2
Q11668757,7,4
Q116692937,4,1
Q11673645,10,2
Q11673820,4,2
Q116745235,1,1
Q1167559,7,3
Q116757536,10,3
Q11677795,19,2
Q116795883,2,0
Q11681978,5,4
Q11682562,9,3
Q11682814,10,10
Q11684527,15,2
Q116847035,3,2
Q11685220,7,2
Q1168564,18,7
Q11686528,10,2
Q11688335,12,2
Q11689890,4,0
Q116927521,3,1
Q116927525,3,1
Q1169498,32,21
Q116951639,14,6
Q116956672,7,3
Q11696022,6,2
Q11697033,3,1
Q11697731,6,1
Q116980794,4,1
Q116984033,4,0
Q11698984,5,3
Q1170101,9,3
Q11703875,6,2
Q11704754,17,14
Q11706115,14,10
Q117075342,2,2
Q117084941,7,0
Q117089842,1,1
Q11710290,3,1
Q11710892,10,7
Q11711619,3,4
Q11711658,8,2
Q11714191,9,1
Q11714221,2,1
Q11714240,3,1
Q11714242,3,1
Q11714244,2,1
Q117166709,3,2
Q117184271,2,2
Q1171925,6,5
Q1171961,5,3
Q1172040,18,11
Q11728137,2,1
Q11728180,12,4
Q117289137,9,0
Q11729252,15,1
Q11729324,18,4
Q11730381,4,1
Q11730382,5,1
Q117310397,8,1
Q11733247,16,3
Q1173681,15,9
Q11738665,4,1
Q11738868,4,1
Q11740375,3,1
Q1174388,20,6
Q117468317,1,1
Q117481181,3,2
Q11751046,1,2
Q11751802,11,2
Q11751806,8,1
Q11752653,4,2
Q11753178,3,1
Q117540472,3,2
Q11756848,6,4
Q1175916,9,4
Q1175941,22,3
Q117617381,6,1
Q11762480,8,7
Q11764101,2,1
Q11764102,4,1
Q117662443,6,1
Q11766475,4,1
Q11766918,3,1
Q11770060,17,4
Q1177360,29,5
Q11777381,3,1
Q1178176,12,13
Q11783606,15,11
Q117836164,6,0
Q117841,104,31
Q1178430,56,7
Q1178583,21,24
Q11786643,2,1
Q11786796,4,1
Q11786802,4,1
Q11789018,4,1
Q11789468,2,1
Q1178970,19,21
Q1179038,14,18
Q11792333,3,1
Q11792573,2,1
Q11792574,3,1
Q11794250,4,0
Q11796188,3,1
Q11797829,3,1
Q11798351,8,2
Q11802383,5,1
Q1180761,5,3
Q1180888,11,10
Q118107094,2,0
Q11813034,8,1
Q11813477,6,1
Q118143548,6,0
Q118143559,7,0
Q118143570,10,0
Q118143603,7,0
Q118144703,5,0
Q118144710,5,0
Q118144747,5,1
Q118144787,5,0
Q11815668,5,4
Q1181848,35,13
Q1181858,15,8
Q1181859,84,21
Q1181860,27,4
Q1181866,24,15
Q118189130,11,3
Q118192,58,43
Q11821302,4,1
Q118275074,27,0
Q118287814,1,1
Q118292561,8,0
Q11830843,17,11
Q1183173,9,2
Q1183222,9,4
Q1183224,9,5
Q1183226,10,6
Q1183342,19,15
Q1183348,36,12
Q1183352,11,4
Q1183358,11,2
Q11835021,3,1
Q1183998,7,12
Q1184348,16,11
Q118457229,6,3
Q118471372,4,0
Q11851389,5,1
Q11856365,3,1
Q1185808,5,1
Q11860499,4,1
Q11862555,4,3
Q11862906,3,1
Q11863868,4,1
Q118645506,7,1
Q1186488,13,15
Q1187037,38,9
Q11873695,3,1
Q11880820,1,1
Q11881228,1,2
Q11881760,5,1
Q11886618,1,1
Q11889733,5,3
Q11893927,7,1
Q118948057,1,2
Q118951707,6,1
Q118966764,1,4
Q11897486,6,3
Q11900683,3,1
Q11901080,2,1
Q11901911,3,1
Q11904046,27,4
Q11904101,10,3
Q11904910,9,2
Q11905319,10,2
Q11905357,27,3
Q11905701,11,5
Q11905711,27,5
Q11905735,10,1
Q11906117,7,2
Q11906265,30,2
Q11906576,5,1
Q11906626,9,4
Q11906742,11,5
Q11906743,17,6
Q11906871,12,4
Q11907100,13,1
Q11907153,11,2
Q11907257,17,1
Q11908660,12,2
Q11908702,11,1
Q1190966,38,17
Q11910913,4,2
Q11910914,11,2
Q11910925,31,11
Q11910929,11,3
Q11910936,22,3
Q11912219,16,7
Q11912230,13,2
Q11912343,11,6
Q11912529,13,12
Q11913355,9,4
Q11913372,12,2
Q11913780,15,1
Q11915106,7,1
Q11916321,11,2
Q11916322,20,10
Q11916385,9,4
Q11916544,15,2
Q11916749,11,1
Q11916782,13,3
Q11916791,7,2
Q11917225,30,8
Q11917263,11,1
Q11917292,28,7
Q11917689,9,2
Q11919227,20,2
Q11920752,13,1
Q11920754,13,1
Q11921099,11,3
Q11921121,29,26
Q11921209,10,1
Q11921796,15,4
Q11922080,16,6
Q11922082,7,3
Q11923347,19,4
Q11923502,21,2
Q11923512,15,2
Q11923514,33,4
Q11923539,17,2
Q11923540,17,3
Q11923541,20,1
Q11923560,17,2
Q11923561,25,4
Q11923567,15,5
Q11923573,20,3
Q11923620,30,7
Q11923646,26,10
Q11923880,18,3
Q11924394,30,3
Q11924411,35,5
Q11925073,28,2
Q11925399,9,3
Q11925672,10,2
Q11926234,19,3
Q11926250,11,3
Q11926253,11,2
Q11926389,14,4
Q11926420,5,1
Q11927036,12,2
Q119285922,5,0
Q11929386,16,2
Q11929397,16,2
Q11929486,15,3
Q11931367,13,3
Q1193185,36,24
Q11931896,15,3
Q11931905,4,1
Q11931928,7,1
Q11932037,15,9
Q11933884,10,4
Q11934035,20,4
Q11934053,24,3
Q11934060,12,3
Q11934083,15,4
Q11934091,20,4
Q11934113,24,3
Q11934146,28,3
Q11934153,17,4
Q11934157,30,14
Q11934160,18,10
Q11934170,23,1
Q11934171,21,11
Q11934184,17,3
Q11934486,6,2
Q11934697,9,1
Q11935087,33,2
Q11935089,19,3
Q11935100,15,3
Q11935192,28,4
Q11936458,9,3
Q11936650,13,1
Q11936718,5,1
Q11937103,7,3
Q1193804,11,26
Q119381214,3,2
Q11938698,16,8
Q11938875,17,12
Q11939082,10,1
Q11939400,16,3
Q11939741,29,7
Q11940514,6,3
Q11940784,12,20
Q11940870,7,2
Q1194110,7,22
Q11941123,10,7
Q11941997,23,5
Q11942207,7,2
Q11942493,12,1
Q11943233,22,2
Q11943242,20,1
Q11943248,46,4
Q11943253,19,1
Q11943255,17,1
Q11943270,16,1
Q11943279,34,1
Q11943302,35,4
Q1194367,14,20
Q1194399,8,15
Q11944240,20,3
Q11944242,22,6
Q11944244,17,4
Q11944250,49,11
Q11944265,14,1
Q11944275,24,9
Q11944299,18,2
Q11944309,14,3
Q11944310,19,4
Q11946395,8,1
Q11946568,14,2
Q11946569,7,3
Q11947698,23,4
Q1194924,12,18
Q11949619,22,4
Q11949631,17,1
Q11949801,22,5
Q11950248,19,2
Q11950499,8,3
Q11950502,6,3
Q11950679,23,3
Q11950924,18,1
Q11951855,15,2
Q11951944,6,2
Q11951952,13,5
Q11951957,18,8
Q11951960,11,3
Q11951962,14,2
Q11952004,14,3
Q11953021,9,1
Q11953383,22,1
Q11953937,17,1
Q11954555,17,4
Q11954587,18,3
Q11954878,19,6
Q11954912,14,3
Q11955365,19,2
Q1196035,14,25
Q119640,3,6
Q119723801,26,0
Q11980948,15,9
Q119853881,11,0
Q119856861,4,1
Q119919,13,13
Q1199200,14,14
Q119949460,4,1
Q120015,101,40
Q1200209,11,5
Q1200671,15,17
Q120122,35,17
Q120197190,6,0
Q120197205,7,0
Q120197406,6,0
Q120197424,6,0
Q12024670,10,2
Q12029578,12,3
Q120317,15,4
Q12033301,2,1
Q12046224,40,6
Q120518250,3,1
Q1205276,12,18
Q120540701,6,0
Q120541536,7,0
Q120542605,6,0
Q120542657,5,0
Q120581634,6,0
Q12059884,7,2
Q120629586,5,0
Q1206546,8,5
Q1206572,6,17
Q120728081,6,0
Q120729916,4,1
Q12074348,7,1
Q1207532,9,4
Q12075884,14,5
Q12076717,8,2
Q1207769,8,17
Q1207846,29,37
Q12078461,10,3
Q12078889,5,1
Q12078983,4,1
Q12079847,3,2
Q12081312,2,1
Q120831,20,15
Q12089684,11,3
Q12090144,5,1
Q1209024,3,13
Q12093923,14,6
Q12093928,35,6
Q12094462,3,1
Q12096330,10,6
Q12096454,6,2
Q12096979,4,2
Q12102331,8,1
Q121031886,1,2
Q1210338,14,11
Q12108124,3,1
Q12109635,11,2
Q12113462,19,1
Q12115093,2,3
Q12118994,23,3
Q12121378,17,2
Q12121412,4,2
Q121258620,4,0
Q121290429,4,1
Q12130063,25,8
Q121310627,16,0
Q121336085,6,0
Q121345301,5,0
Q121345315,6,0
Q121356932,3,2
Q121364291,1,1
Q12138988,14,3
Q12141293,5,2
Q12141786,10,2
Q12142063,11,1
Q12142313,3,1
Q121435626,2,0
Q12145490,13,0
Q121459929,5,0
Q121494481,1,3
Q1215165,21,10
Q12152218,27,6
Q1215443,29,15
Q1215588,20,15
Q1215819,31,14
Q1215850,8,7
Q12159728,6,3
Q1216049,10,7
Q1216093,30,11
Q1216102,18,10
Q1216113,17,10
Q1216120,26,10
Q1216133,17,7
Q1216270,17,5
Q12163200,8,2
Q12163201,5,1
Q12163251,15,7
Q12165872,5,1
Q12166542,5,1
Q12170315,4,5
Q12170991,2,1
Q1218117,24,7
Q121842332,5,0
Q121842622,6,0
Q121888617,5,0
Q121888980,4,0
Q121889065,6,0
Q121889127,5,0
Q121889228,4,0
Q121890650,5,0
Q121890750,4,0
Q121890801,8,0
Q1219046,24,10
Q121904984,5,0
Q1219066,17,8
Q121906951,5,0
Q121906970,7,0
Q12191210,6,4
Q1219183,18,11
Q1219206,30,11
Q1219658,24,12
Q12197965,3,1
Q121999977,6,0
Q122000039,6,0
Q122003832,4,0
Q122004614,4,0
Q122005198,15,0
Q122030541,6,0
Q122033023,8,0
Q122033477,5,0
Q122033718,3,0
Q122050693,4,0
Q122054260,3,0
Q122061953,3,1
Q12206245,5,1
Q122065665,6,0
Q122066765,6,0
Q122067268,6,0
Q122067345,6,0
Q122067347,6,0
Q12208440,5,0
Q122148043,5,0
Q122148131,5,0
Q122152608,5,0
Q122152651,3,0
Q122152720,6,0
Q122248,333,99
Q1223428,26,13
Q1223467,19,8
Q1223495,18,9
Q12234967,11,9
Q1223584,34,11
Q122375891,1,1
Q122388823,3,2
Q1224032,11,8
Q1224130,43,17
Q122437,14,3
Q1225062,19,11
Q1225171,13,2
Q12252812,5,1
Q12252841,2,1
Q12252844,3,1
Q1225299,23,15
Q12253064,1,1
Q12253859,2,1
Q12254022,4,1
Q12254056,4,1
Q12254202,2,1
Q12254209,3,1
Q1225430,31,13
Q12254323,9,1
Q12254541,2,3
Q12254653,8,1
Q12254676,3,1
Q12254680,2,1
Q12254804,2,1
Q12254936,3,1
Q12254962,3,1
Q12255435,2,1
Q12256062,2,1
Q12256419,3,1
Q12256459,3,1
Q12256468,1,1
Q12256714,3,1
Q1225685,26,11
Q12256967,3,1
Q12259942,6,1
Q1226028,22,10
Q12261186,3,1
Q122615771,4,0
Q1226298,30,10
Q12263038,7,5
Q122640482,5,0
Q122641398,3,0
Q122642171,3,0
Q1226456,20,8
Q12265585,4,3
Q1226617,12,7
Q122662029,5,0
Q122665089,7,0
Q12267697,4,1
Q12267771,6,1
Q1226782,7,1
Q1226816,19,1
Q12268824,4,1
Q1226883,13,11
Q12269097,8,1
Q1226993,127,19
Q12270992,4,6
Q12271109,14,7
Q12271115,19,7
Q12271116,15,7
Q12271118,30,9
Q1227141,12,1
Q12271661,12,4
Q12271730,1,1
Q12272056,15,2
Q1227214,32,12
Q1227220,24,12
Q12272327,17,6
Q12272328,25,4
Q1227238,27,11
Q1227252,30,12
Q1227277,24,12
Q12273116,12,2
Q1227318,35,11
Q1227324,29,13
Q12274563,1,1
Q12274570,1,1
Q122750729,2,0
Q12275936,23,5
Q12275945,11,3
Q12275946,13,5
Q12275952,22,8
Q12275955,19,6
Q12275956,15,8
Q12275957,15,7
Q12275963,22,2
Q12275967,27,8
Q12275973,10,6
Q12275977,21,8
Q12275980,11,5
Q12275986,12,5
Q12275993,20,10
Q12275998,24,4
Q12275999,14,12
Q12276001,17,4
Q12276009,18,11
Q12276010,18,1
Q12276020,10,7
Q12276027,11,3
Q12276029,12,4
Q12276030,10,2
Q12276032,19,1
Q12276033,17,6
Q12276040,12,4
Q12276041,17,1
Q12276044,12,6
Q12276047,17,5
Q12276049,22,7
Q12276060,17,9
Q12276062,15,5
Q12276068,12,5
Q12276071,14,7
Q12276074,15,6
Q12276076,12,4
Q12276079,16,8
Q12276082,15,7
Q12276084,15,9
Q12276156,1,1
Q12276157,5,1
Q12277033,14,5
Q12277036,19,8
Q12277041,13,1
Q12277046,11,4
Q12277053,15,6
Q12277054,14,6
Q12277061,20,8
Q12277062,21,6
Q12277066,11,2
Q12277067,13,6
Q12277069,12,4
Q12277462,1,1
Q12277470,2,1
Q12277549,1,1
Q12277583,3,1
Q12277794,7,1
Q12277935,22,6
Q12278075,2,1
Q122782813,5,0
Q122782820,7,0
Q122782861,6,0
Q122782882,5,0
Q122783003,6,0
Q122783241,5,0
Q12278987,14,2
Q12278988,25,2
Q12279320,2,1
Q12280005,7,1
Q122809624,6,0
Q122811646,5,0
Q122812917,6,0
Q122816591,4,0
Q122816612,5,0
Q122817194,5,0
Q122818210,5,0
Q122818442,4,0
Q122818679,6,0
Q122818694,4,0
Q122819197,5,0
Q122819418,4,0
Q122819465,3,0
Q12281966,2,1
Q12282692,19,3
Q12282698,8,3
Q122827552,10,4
Q122827842,4,0
Q122827889,5,0
Q12282792,19,5
Q12282793,16,6
Q122827947,7,0
Q122827979,6,0
Q12282798,6,2
Q12282799,11,2
Q12282800,14,6
Q12282805,18,7
Q12282812,14,5
Q12282815,17,1
Q12282816,20,6
Q12282817,12,2
Q12282829,20,1
Q12282840,10,3
Q12282843,13,5
Q12282847,18,9
Q12282851,16,7
Q12282852,16,6
Q12282853,13,8
Q12282857,24,6
Q12282861,12,3
Q12282863,16,6
Q12282867,18,5
Q122829761,8,0
Q122829774,6,0
Q122829861,4,0
Q122829898,4,0
Q122829903,7,0
Q122829941,3,0
Q12283182,6,2
Q12283273,1,1
Q12283917,3,1
Q122841008,4,0
Q122841018,4,0
Q122841063,5,0
Q122841156,5,0
Q122841403,5,0
Q122841424,4,0
Q122841445,4,0
Q122841927,3,0
Q122841989,3,0
Q122842113,5,0
Q12284811,4,2
Q12284895,2,1
Q122850364,7,0
Q12285138,13,6
Q12285139,11,4
Q12285141,16,9
Q12285144,15,6
Q12285152,18,5
Q12285157,25,7
Q12285160,19,8
Q12285165,32,5
Q12285167,13,6
Q12285170,17,9
Q12285176,13,7
Q12285177,15,9
Q12285179,9,4
Q12285180,14,4
Q12285185,28,6
Q12285191,14,5
Q12285194,15,8
Q12285196,20,4
Q12285197,38,4
Q12285199,14,6
Q12285202,12,1
Q12285209,14,5
Q12285222,13,4
Q12285223,17,3
Q12285227,16,8
Q12285232,14,4
Q12285245,15,4
Q12285246,11,3
Q12285247,14,4
Q12285254,15,5
Q12285257,10,4
Q12285263,15,6
Q12285264,11,4
Q12285266,18,6
Q12285268,12,5
Q12285272,11,4
Q12285279,13,6
Q12285281,37,6
Q12285284,11,5
Q122852928,5,0
Q122852940,5,0
Q12285296,18,4
Q12285298,24,10
Q12285829,15,6
Q12286044,21,7
Q12286045,19,4
Q12286047,23,6
Q12286049,19,6
Q12286054,15,7
Q12286055,22,7
Q12286056,16,7
Q12286057,17,3
Q12286060,14,4
Q12286061,24,2
Q12286085,24,3
Q12286098,18,1
Q12286103,13,3
Q12286105,20,6
Q12286108,14,4
Q12286113,20,5
Q12286119,14,6
Q12286125,19,5
Q12286132,11,6
Q12286142,19,2
Q12286143,12,5
Q12286149,13,4
Q12286151,13,2
Q12286156,10,2
Q12286160,11,6
Q12286164,16,4
Q12286171,15,9
Q12286358,18,5
Q1228707,19,9
Q1228715,34,13
Q122871605,5,0
Q122872595,7,0
Q122878309,7,0
Q122878876,4,0
Q122879569,5,0
Q12288131,1,1
Q12288217,3,1
Q122887886,5,0
Q122887924,4,0
Q12289308,14,3
Q122899806,6,0
Q122901236,7,0
Q1229029,8,6
Q12290743,24,2
Q12290745,22,1
Q1229133,17,10
Q12291557,26,4
Q12291677,14,5
Q12291678,16,8
Q12291687,9,4
Q12291690,16,5
Q12291691,17,9
Q12291693,19,7
Q12291694,26,4
Q12291695,16,8
Q12291696,16,4
Q12291700,18,9
Q12291702,16,5
Q12291709,12,3
Q12291715,20,12
Q12291717,16,6
Q12291723,12,6
Q12291726,20,2
Q12291732,11,3
Q12291733,16,8
Q12291738,16,5
Q12291742,17,5
Q12291743,17,5
Q12291746,20,9
Q12293508,14,6
Q12293509,18,8
Q12293513,14,5
Q12293514,16,2
Q12293516,14,9
Q12293517,19,10
Q12293522,18,10
Q12293528,15,8
Q12293562,23,3
Q12293563,24,1
Q12293603,13,3
Q12293873,26,2
Q1229393,19,12
Q1229431,44,9
Q122945088,5,2
Q1229464,21,11
Q12295764,19,6
Q1229579,19,9
Q12296262,18,6
Q12296316,16,10
Q12296320,12,3
Q12296329,17,6
Q12296331,13,5
Q12296369,10,2
Q12296373,16,7
Q12296377,23,1
Q12296379,14,6
Q12296380,31,7
Q12296392,11,4
Q12296393,15,3
Q12296398,20,6
Q12296399,13,7
Q12296400,18,11
Q12296401,10,5
Q12296405,12,6
Q12296407,10,4
Q12296408,13,5
Q12296409,16,4
Q12296411,17,5
Q12296413,17,7
Q12296414,10,6
Q12296416,12,4
Q12296422,31,6
Q12296423,10,2
Q122975564,6,0
Q122980967,7,0
Q122981030,7,0
Q122981539,7,0
Q122981651,6,0
Q122982263,5,1
Q122983331,7,0
Q12299516,11,2
Q1230031,27,6
Q123013338,11,1
Q1230198,22,10
Q1230217,35,13
Q1230242,25,3
Q1230243,9,11
Q1230535,22,18
Q1230606,15,2
Q1230631,9,8
Q1230832,25,14
Q1230850,29,10
Q12308548,2,1
Q123116501,7,0
Q1231196,18,16
Q1231574,3,8
Q1231590,60,16
Q1231743,36,32
Q1231767,8,1
Q123190295,10,0
Q123191301,8,0
Q1231983,32,8
Q1231994,20,12
Q1232026,40,17
Q1232435,33,15
Q1232483,7,10
Q1232517,15,1
Q1232580,94,18
Q1232668,8,8
Q1232714,28,21
Q123281387,9,0
Q1232866,35,12
Q1232925,22,13
Q1232939,21,12
Q1232970,36,14
Q123333787,7,0
Q123334066,8,0
Q123341907,4,2
Q1233612,22,9
Q1233616,35,15
Q1233627,29,13
Q1233659,8,2
Q12338074,2,1
Q1233815,24,14
Q123384654,17,4
Q1234213,9,15
Q123424992,7,5
Q1234276,32,14
Q1234303,17,14
Q1234352,19,14
Q1234367,32,15
Q1234375,29,15
Q1234468,39,14
Q1234508,32,16
Q12345268,5,1
Q12346189,1,1
Q123471077,7,0
Q123472400,3,1
Q123479389,5,0
Q12351562,3,1
Q1235168,8,12
Q12353585,6,3
Q12353594,4,1
Q1235522,32,15
Q1235584,15,13
Q123572270,3,1
Q123574432,15,0
Q12359854,9,1
Q1236001,55,14
Q1236012,22,13
Q1236415,26,15
Q1236424,21,12
Q1236445,29,16
Q1236482,29,12
Q1236503,33,14
Q1236610,24,13
Q1236692,17,6
Q123688161,5,0
Q12371417,2,2
Q1237345,10,4
Q12374449,2,1
Q1237475,21,10
Q1237478,13,10
Q1237483,18,7
Q1237504,7,2
Q1237511,31,7
Q1237524,14,6
Q12375258,3,1
Q1237544,25,8
Q12377159,3,1
Q1237732,8,3
Q1237811,16,4
Q123786015,1,1
Q1237982,15,7
Q1238043,13,7
Q1238082,24,11
Q123819084,6,0
Q123819108,6,0
Q123819384,2,0
Q1238263,20,6
Q1238411,22,9
Q1238425,17,9
Q1238434,25,13
Q1238439,20,2
Q1238443,28,8
Q12384644,6,2
Q1238473,21,10
Q1238494,20,9
Q12387306,2,1
Q1239236,30,11
Q123925512,5,0
Q1239264,12,7
Q1239290,14,5
Q12393154,5,1
Q1239341,25,7
Q1239385,18,4
Q1239396,17,7
Q1239465,24,10
Q1239602,15,6
Q1239611,25,10
Q1239633,16,8
Q1239644,17,12
Q1239662,18,7
Q1239671,16,8
Q1239678,17,10
Q1239692,15,5
Q1239702,20,11
Q1239716,14,8
Q1239729,27,9
Q1239751,14,6
Q1239764,12,6
Q1239781,14,6
Q1239806,22,12
Q1239829,16,8
Q1239840,17,10
Q1239850,16,8
Q1239883,22,8
Q1240153,14,6
Q12406550,16,8
Q12409848,8,3
Q124101290,5,2
Q1241343,44,15
Q1241376,48,19
Q1241384,34,8
Q1241419,46,11
Q1241433,59,19
Q1241495,26,6
Q1241543,23,9
Q124155345,4,1
Q1241566,23,9
Q1241650,17,8
Q12417632,7,4
Q12417781,2,1
Q1241802,16,5
Q1241839,28,13
Q1241841,11,12
Q1241860,14,11
Q1241875,24,10
Q1241889,16,6
Q1241901,22,8
Q1241969,44,12
Q1241984,18,9
Q1242001,24,11
Q1242010,22,11
Q1242043,23,10
Q1242047,15,7
Q1242065,38,10
Q1242076,26,12
Q124218138,5,1
Q1242207,15,4
Q124248363,2,1
Q1242732,5,4
Q124291117,8,1
Q124295362,4,3
Q124333988,2,1
Q124349846,4,1
Q1243531,16,8
Q1243545,39,19
Q1243557,22,13
Q1243647,17,14
Q1243793,15,6
Q1243817,59,9
Q1243867,6,10
Q1244042,17,7
Q124411944,5,3
Q124424172,6,0
Q124424200,5,0
Q124425513,5,0
Q124425554,5,0
Q124435227,5,0
Q124435438,4,0
Q124444776,3,2
Q124454032,5,0
Q1244627,21,14
Q124496822,7,0
Q124496824,7,0
Q1245012,8,2
Q1245038,27,15
Q124512293,3,0
Q124512305,5,0
Q124512315,4,1
Q124515741,5,0
Q124515782,4,0
Q124515821,5,1
Q1245175,27,13
Q1245211,20,14
Q12452581,7,5
Q12457049,2,16
Q1245790,12,9
Q1246082,6,2
Q124616619,14,0
Q1246185,14,10
Q1246244,10,7
Q1246563,10,16
Q1246743,14,5
Q124675065,5,1
Q1246807,27,17
Q1246826,12,4
Q1247079,31,15
Q124713891,5,0
Q1247301,27,16
Q1247315,4,7
Q1247318,12,10
Q1247341,16,6
Q1247347,22,8
Q124745252,1,1
Q124773391,8,0
Q124821592,5,0
Q124821879,7,0
Q124821897,4,0
Q124823433,6,1
Q124834275,3,3
Q124834581,5,0
Q124844429,5,0
Q124852972,5,0
Q124853382,5,0
Q124853399,4,0
Q124877425,4,0
Q124877433,4,0
Q124883468,4,1
Q1249335,12,13
Q124937982,5,0
Q124939348,5,0
Q124939444,5,0
Q12494439,12,3
Q124980379,3,0
Q124985567,7,0
Q124985620,4,0
Q124985949,4,0
Q124987214,4,0
Q124988530,5,0
Q124988536,4,0
Q1250023,7,13
Q12501907,4,1
Q12506564,76,20
Q125086835,5,0
Q125087457,5,0
Q125087467,9,0
Q125087487,5,0
Q125096599,4,0
Q125097357,6,0
Q125101277,5,0
Q125101281,4,0
Q125102637,4,0
Q1251156,9,6
Q1251323,23,12
Q1251330,24,14
Q125157191,8,0
Q1251663,5,1
Q125170819,5,0
Q125170864,6,0
Q125179051,1,1
Q125179052,1,1
Q125179053,1,1
Q125179054,1,2
Q125179055,1,1
Q125179056,1,1
Q125179057,1,1
Q125179059,1,1
Q125179060,1,1
Q125179061,1,1
Q125179062,1,1
Q125179063,1,1
Q125179064,1,1
Q125179066,4,1
Q125179068,1,1
Q125179071,1,1
Q125179072,1,1
Q125179073,1,1
Q125179074,1,1
Q125191874,2,1
Q125220421,2,0
Q1252393,12,6
Q125246423,4,0
Q125246527,5,0
Q125246533,6,0
Q125246596,4,0
Q125246617,4,0
Q125246712,4,1
Q125246776,4,0
Q125246779,4,0
Q125246933,3,1
Q12527152,3,1
Q12530074,18,4
Q125359413,4,1
Q125359704,5,0
Q125372205,3,0
Q12538694,6,2
Q125399329,4,0
Q125414,170,100
Q125426183,6,0
Q125427955,6,0
Q125427963,3,0
Q125497541,3,1
Q125497548,2,1
Q125497561,2,1
Q125497618,2,1
Q1255043,13,20
Q12551711,3,1
Q125545,50,18
Q125547057,3,0
Q1255852,4,4
Q1256321,3,2
Q1256641,40,13
Q1256851,21,14
Q1257260,14,8
Q1257343,11,9
Q1257414,17,11
Q125747792,1,1
Q125762577,4,0
Q125800103,5,0
Q1258032,13,25
Q125814303,5,1
Q125856619,5,0
Q125856691,4,0
Q125873333,5,0
Q125873359,5,0
Q125874366,5,0
Q125881354,4,1
Q125885617,5,0
Q125885629,5,0
Q1258941,20,17
Q1258989,13,22
Q125945165,1,1
Q125960438,1,1
Q1259636,22,21
Q12599780,7,5
Q12600102,9,5
Q126009117,2,1
Q126011307,5,1
Q126050204,5,1
Q126075039,5,1
Q126127861,7,0
Q12613735,3,2
Q126177797,5,1
Q126181527,2,1
Q12624583,4,2
Q12624595,12,2
Q1262514,13,18
Q126319,12,18
Q1264443,18,17
Q12645412,4,1
Q12647151,7,1
Q12648991,3,1
Q12649421,2,1
Q12649748,1,1
Q12649772,2,1
Q12650846,2,1
Q12650901,2,1
Q12651125,2,1
Q12651492,2,1
Q12651503,2,2
Q12651522,2,1
Q12651770,3,2
Q12652806,2,1
Q12653025,9,1
Q12653045,3,2
Q12653402,2,1
Q12654169,5,2
Q12654224,2,1
Q12654248,2,1
Q12654906,2,1
Q12655658,2,1
Q12656209,2,1
Q12656298,2,1
Q12656412,8,1
Q12657065,2,1
Q12657392,2,3
Q12660065,2,1
Q12660068,2,1
Q12660706,2,1
Q1266186,101,22
Q12662253,2,1
Q12662328,2,1
Q12662568,2,1
Q12662677,2,1
Q1266363,15,17
Q12664137,2,2
Q12664377,2,1
Q12665675,5,3
Q1266634,24,19
Q12667075,2,1
Q12667076,2,1
Q12667298,7,3
Q12667776,2,2
Q126685009,4,0
Q126685022,4,0
Q126688602,8,1
Q126688665,4,0
Q12668988,2,1
Q12669615,5,3
Q12670002,2,1
Q12670180,2,1
Q12670734,2,1
Q12670972,2,1
Q12671038,2,2
Q12672073,2,2
Q12672208,2,1
Q12672808,2,1
Q12672964,2,1
Q12673263,2,1
Q12673598,2,1
Q12674297,2,1
Q12674782,2,1
Q12675341,2,1
Q12675560,2,1
Q12675675,2,2
Q12675845,2,1
Q1267598,13,26
Q12676198,2,2
Q12676814,3,2
Q12677155,2,1
Q12679615,2,1
Q12679658,2,1
Q12680088,2,1
Q1268142,22,10
Q1268753,4,7
Q12688595,2,1
Q126898714,6,0
Q126899086,7,0
Q126899134,7,0
Q126900939,6,0
Q126900950,6,0
Q126901044,8,0
Q12690161,4,1
Q126901674,4,0
